entity,wikipedia_it,wikipedia_en,wikidata,viaf,geonames
Abbone,https://it.wikipedia.org/wiki/Abbone_di_Fleury,https://en.wikipedia.org/wiki/Abbo_of_Fleury,https://www.wikidata.org/wiki/Q306658,https://viaf.org/en/viaf/9966678,
Adriatico,https://it.wikipedia.org/wiki/Mare_Adriatico,https://en.wikipedia.org/wiki/Adriatic_Sea,https://www.wikidata.org/wiki/Q13924,https://viaf.org/en/viaf/316741867,https://www.geonames.org/3183462/adriatic-sea.html
Agostino,https://it.wikipedia.org/wiki/Agostino_d%27Ippona,https://en.wikipedia.org/wiki/Augustine_of_Hippo,https://www.wikidata.org/wiki/Q8018,https://viaf.org/en/viaf/66806872,
Akhmatova,https://it.wikipedia.org/wiki/Anna_Andreevna_Achmatova,https://en.wikipedia.org/wiki/Anna_Akhmatova,https://www.wikidata.org/wiki/Q80440,https://viaf.org/en/viaf/49220707,
Aldo Finzi,https://it.wikipedia.org/wiki/Aldo_Finzi_(politico),https://en.wikipedia.org/wiki/Aldo_Finzi_(politician),https://www.wikidata.org/wiki/Q690725,https://viaf.org/en/viaf/18310180,
Alessandria,https://it.wikipedia.org/wiki/Alessandria,https://en.wikipedia.org/wiki/Alessandria,https://www.wikidata.org/wiki/Q6088,https://viaf.org/en/viaf/137079443,https://www.geonames.org/6541464/alessandria.html
Alessio,https://it.wikipedia.org/wiki/Alessio_IV_Angelo,https://en.wikipedia.org/wiki/Alexios_IV_Angelos,https://www.wikidata.org/wiki/Q37069,https://viaf.org/en/viaf/217145684,
America,https://it.wikipedia.org/wiki/Stati_Uniti_d%27America,https://en.wikipedia.org/wiki/United_States,https://www.wikidata.org/wiki/Q30,https://viaf.org/en/viaf/130168302,https://www.geonames.org/6252001/united-states.html
Andreotti,https://it.wikipedia.org/wiki/Giulio_Andreotti,https://en.wikipedia.org/wiki/Giulio_Andreotti,https://www.wikidata.org/wiki/Q50005,https://viaf.org/en/viaf/109833019,
Aquileia,https://it.wikipedia.org/wiki/Aquileia,https://en.wikipedia.org/wiki/Aquileia,https://www.wikidata.org/wiki/Q53216,https://viaf.org/en/viaf/148893013,https://www.geonames.org/6539930/aquileia.html
Arezzo,https://it.wikipedia.org/wiki/Arezzo,https://en.wikipedia.org/wiki/Arezzo,https://www.wikidata.org/wiki/Q13378,https://viaf.org/en/viaf/226733401,https://www.geonames.org/6542153/arezzo.html
Argentina,https://it.wikipedia.org/wiki/Argentina,https://en.wikipedia.org/wiki/Argentina,https://www.wikidata.org/wiki/Q414,https://viaf.org/en/viaf/146499420,https://www.geonames.org/3865483/argentine-republic.html
Aristotele,https://it.wikipedia.org/wiki/Aristotele,https://en.wikipedia.org/wiki/Aristotle,https://www.wikidata.org/wiki/Q868,https://viaf.org/en/viaf/7524651,
Austria,https://it.wikipedia.org/wiki/Austria,https://en.wikipedia.org/wiki/Austria,https://www.wikidata.org/wiki/Q40,https://viaf.org/en/viaf/148842731,https://www.geonames.org/2782113/republic-of-austria.html
